time_id,year,Y_hamburg,Y_synth,gap,post
1,2015,0.06704545454545455,0.07950530035335708,-0.012459845807902534,False
2,2016,0.1133518776077886,0.08712121212121232,0.02623066548657628,False
3,2017,0.10941176470588235,0.0763358778625957,0.03307588684328665,False
4,2018,0.09936238044633369,0.131524008350731,-0.032161627904397305,False
5,2019,0.1436842105263158,0.266149870801034,-0.12246566027471822,False
6,2020,0.29802955665024633,0.5127659574468092,-0.21473640079656287,False
7,2021,0.5690690690690691,0.8221476510067122,-0.2530785819376431,False
8,2022,0.7953929539295393,1.6177474402730387,-0.8223544863434994,False
9,2023,3.2564102564102564,6.153225806451616,-2.8968155500413593,True
10,2024,3.579710144927536,8.66141732283465,-5.081707177907114,True
11,2025,4.678420310296191,7.9427083333333375,-3.264288023037146,True
