OBJECTID,Postleitzahl,note,Einwohner:Innen,Gebietgröße in km²,Shape__Area,Shape__Length
1,64743,"Situation unklar, evtl. haben die Häuser Marbach 2 und 6 auch diese PLZ. Das ganze sieht aus wie ein Versäumnis der Post.",3,0.082066,195369.744628906,2526.56032777865
2,81248,81248 München,121,1.984763,4455346.46240234,9358.74900572957
3,60315,60315 Frankfurt am Main (FOUR),0,0.017285,42014.8110351563,868.309237733258
4,99331,99331 Geratal,4523,20.20708,50352702.0405273,46803.682059089
5,60312,60312 Frankfurt am Main (Omniturm),0,0.001829,4446.4013671875,267.065318286679
6,98694,98694 Ilmenau,7028,80.375011,199537109.212402,122071.026514065
7,39628,39628 Bismark,3147,125.13593,339071239.369141,109766.577330274
8,64760,64760 Oberzent,10503,165.476886,393053500.438477,137172.27415591
9,35647,35647 Waldsolms,4855,44.716972,110165395.299805,73083.244852594
10,31195,31195 Lamspringe,5876,70.492464,185587953.728027,93723.7557809652
11,31084,31084 Freden (Leine),4892,53.219498,139853219.684082,70285.6627972555
12,27639,27639 Wurster Nordseeküste,17093,179.92406,513231546.533691,126536.480850535
13,99707,99707 Kyffhäuserland,4281,128.579234,329481337.322266,138016.867955432
14,25867,25867 Oland,21,2.127616,6356305.07373047,14373.6105755191
15,82475,82475 Garmisch-Partenkirchen (Schneefernerhaus),0,6.47488,14133284.543457,16447.4809561661
16,47051,47051 Duisburg,13928,2.389929,6140977.00048828,13671.4067936774
17,24367,24367 Osterby,940,9.830657,29037790.3979492,28781.2922597957
18,60306,"60306 Frankfurt am Main, Opernturm",0,0.005761,14005.0053710938,510.604445250524
19,49849,49849 Wilsum,1647,47.164155,127325252.672852,44335.6245432514
20,04862,04862 Mockrehna,5193,114.597391,295140073.179688,90541.4385602417
21,38550,38550 Isenbüttel,6309,18.775497,50471691.6235352,35954.9083654409
22,09634,09634 Reinsberg,602,7.787529,19638434.0957031,23097.1529538087
23,16552,16552 Schildow,6103,6.603192,17876261.9238281,26025.9986510075
24,48308,48308 Senden,20007,109.381671,286497526.53125,122065.573272732
25,48249,48249 Dülmen,46529,185.183014,484698115.740723,128694.798781074
26,48324,48324 Sendenhorst,12877,96.863681,253645983.813477,89740.8288722812
27,48317,48317 Drensteinfurt,15215,106.527946,278304194.797852,106581.90431026
28,59387,59387 Ascheberg,15141,106.308123,277378044.197266,96300.953130168
29,59394,59394 Nordkirchen,9694,52.289388,136172085.333496,65221.3014156508
30,59368,59368 Werne,29659,76.104433,197743889.09082,85110.0832071749
31,59348,59348 Lüdinghausen,23656,140.482355,366534156.952148,113255.103226402
32,59399,59399 Olfen,12101,52.378119,136244738.183105,68747.1257365373
33,59379,59379 Selm,26074,60.395799,156957853.057129,79645.242190521
34,45731,45731 Waltrop,28981,47.077308,122016496.638184,69135.6680388107
35,45739,45739 Oer-Erkenschwick,30941,38.668891,100383388.583008,56003.5259614173
36,45721,45721 Haltern am See,37318,158.51105,413141389.405273,119264.565597927
37,45711,45711 Datteln,34509,66.084093,171598841.40625,91209.560202738
38,99819,"99819 Marksuhl, Krauthausen u.a.",1609,18.342483,46323512.7084961,46518.8939236144
39,32791,32791 Lage,34903,75.977555,200126127.080566,100240.964333004
40,32699,32699 Extertal,11948,92.419428,244621049.564453,99132.8223261103
41,32694,32694 Dörentrup,8229,49.756024,131359557.368164,69065.2534120352
42,32689,32689 Kalletal,14299,112.229369,297457617.814453,103020.515843546
43,32657,32657 Lemgo,41112,100.777711,266058416.203125,117212.719877158
44,46348,46348 Raesfeld,11178,57.944146,151091970.310059,61903.2465586605
45,37696,37696 Marienmünster,5380,63.371221,165754794.71875,69289.981378416
46,49610,49610 Quakenbrück,12196,18.804853,51099599.418457,42164.1424752269
47,37688,37688 Beverungen,13873,97.91499,254348984.609863,105839.173341335
48,37671,37671 Höxter,30209,158.017775,412627783.256836,136158.793696172
49,34439,34439 Willebadessen,8450,128.312167,332392730.847168,117825.672152523
50,34434,34434 Borgentreich,9144,138.818119,359163635.884277,126132.454810433
51,34414,34414 Warburg,23596,168.6786,435223484.271973,143124.944036105
52,32825,32825 Blomberg,15791,99.003681,260439355.159668,111801.673395323
53,32816,32816 Schieder-Schwalenberg,8976,59.997222,157472227.626465,91442.2270931731
54,32676,32676 Lügde,10240,88.47913,232322691.802734,93644.854556081
55,46499,46499 Hamminkeln,26485,164.49477,428560432.571289,121457.050589377
56,47053,47053 Duisburg,24646,5.556753,14270510.1591797,16448.3223670435
57,49699,49699 Lindern (Oldenburg),4713,65.814099,180113329.877441,59466.4866698219
58,49696,49696 Molbergen,7729,102.485984,281018023.382813,89509.6187105545
59,49692,49692 Cappeln (Oldenburg),6881,76.328211,208483718.302734,79313.7751431966
60,24988,24988 Oeversee,3350,36.491463,109166268.15918,52394.4494238682
61,49688,49688 Lastrup,6743,85.513095,233591514.251465,71838.9183290075
62,49685,49685 Emstek,11393,108.512532,297276212.467773,90985.5873352459
63,49681,49681 Garrel,14097,113.692614,312811728.322266,92907.5868748301
64,49661,49661 Cloppenburg,32984,70.812364,194006666.052246,81934.990193339
65,49635,49635 Badbergen,4516,78.034272,211660131.330566,86430.0246652345
66,38530,38530 Didderse,1336,7.419535,19893345.9462891,22552.4070376571
67,49632,49632 Essen (Oldenburg),8314,98.102227,267179004.532227,87220.9916219862
68,49456,49456 Bakum,5912,78.743314,214537074.850586,81532.9457003236
69,49439,49439 Steinfeld,9618,60.011995,162472331.884766,85478.0040114356
70,49429,49429 Visbek,9316,84.102629,230170237.381836,78102.7200981801
71,49424,49424 Goldenstedt,9255,88.884021,242581791.97168,79770.2182614327
72,49413,49413 Dinklage,12662,72.637339,197239536.211426,80221.7534332578
73,49401,49401 Damme,16297,103.609817,279639564.050293,80496.7544824219
74,49638,49638 Nortrup,2967,27.299103,73979565.4101563,44180.9495534625
75,29579,29579 Emmendorf,757,10.9784,30312679.4018555,29098.3923201984
76,49637,49637 Menslage,2529,65.052833,176721823.885742,76253.8126800554
77,49624,49624 Löningen,13094,143.623444,391336991.14209,109063.957792319
78,49393,49393 Lohne,24884,91.089153,247357207.699707,112855.943344865
79,49377,49377 Vechta,30373,87.793149,239279446.033203,87259.3112956941
80,49596,49596 Gehrde,2526,36.447477,98592682.7036133,46866.256343321
81,49593,49593 Bersenbrück,7845,42.453246,114764683.10498,61376.8774405246
82,21737,21737 Wischhafen,3088,27.238753,77876949.4555664,46893.9342129254
83,49451,49451 Holdorf,6549,54.943492,148594686.614746,69417.0489297839
84,49434,49434 Neuenkirchen-Vörden,7886,91.756855,247314907.609863,94987.8711030469
85,49846,49846 Hoogstede,2896,49.649805,134269797.160645,58202.8263772627
86,49844,49844 Bawinkel,2337,20.410246,55234011.1274414,43218.69777743
87,49774,49774 Lähden,4722,79.82878,217649621.31543,75645.1255978479
88,21729,21729 Freiburg (Elbe),1904,26.34517,75533019.6972656,36432.0492743021
89,24887,"24887 Silberstedt, Schwittschau",2182,37.954121,112594837.265625,89695.1430104999
90,38473,38473 Tiddische,1260,16.370817,44139855.5527344,32888.6305222967
91,24885,24885 Sieverstedt,1677,31.061068,92617379.7788086,46739.7405906817
92,38476,38476 Barwedel,1021,19.828737,53521876.5795898,40854.3308814975
93,24882,"24882 Schaalby, Geelbek",1694,24.304851,72109139.8911133,42908.1341323225
94,24881,24881 Nübel,1358,18.660992,55426778.3056641,44424.7426533131
95,24876,24876 Hollingstedt,1051,17.704567,52346904.815918,35603.195467878
96,24873,24873 Havetoft,925,14.452156,43125953.6118164,40730.1397631546
97,24870,24870 Ellingstedt,810,21.30674,63028635.5195313,40621.1696341884
98,24869,24869 Dörpstedt,552,16.661396,49178312.6049805,34328.6340115999
99,24867,24867 Dannewerk,1121,16.476802,48737188.3515625,38974.5126153901
100,38556,38556 Bokensdorf,971,14.475593,39015451.6005859,30602.2758937804
101,24866,24866 Busdorf,2074,5.275558,15614304.9267578,22707.2271917269
102,38553,38553 Wasbüttel,1881,6.620196,17771729.1826172,18774.5513522078
103,37649,37649 Heinsen,852,18.668927,48933814.2617188,34118.1054518781
104,32683,32683 Barntrup,9054,59.480536,156837266.818359,72220.2773936372
105,38474,38474 Tülau,1530,23.523087,63621833.1455078,39587.6399173605
106,38471,38471 Rühen,4858,31.073448,83693823.2988281,52341.0888941699
107,38557,38557 Osloß,1899,7.71106,20757626.3076172,21797.0617004899
108,38554,38554 Weyhausen,2533,7.969604,21442310.5639648,28475.1076108149
109,38479,38479 Tappenbeck,1366,5.168316,13914409.8647461,21925.9122030207
110,38477,38477 Jembke,1872,14.610358,39381451.6396484,31936.2884292656
111,38547,38547 Calberlah,5073,27.616596,74162750.331543,66736.0767392714
112,38531,38531 Rötgesbüttel,2257,10.908152,29279311.8051758,35128.0956094598
113,38524,38524 Sassenburg,10848,88.444184,238713819.473145,90337.4918416796
114,48499,48499 Salzbergen,7578,53.444756,142871603.522461,57327.5187320754
115,48488,48488 Emsbüren,9780,140.053924,375754972.573242,99119.2437983095
116,48493,48493 Wettringen,7833,57.712513,153663159.375977,69224.3249653623
117,48607,48607 Ochtrup,18941,105.709632,281219506.39209,76487.5666251858
118,48455,48455 Bad Bentheim,15142,100.009765,267036554.688965,89796.5596948536
119,48599,48599 Gronau,45509,78.802458,209405917.771973,65648.1269160399
120,48691,48691 Vreden,22428,135.685465,358475653.105469,91342.7078721555
121,48703,48703 Stadtlohn,20192,79.168915,208614190.875977,71186.6803247105
122,48683,48683 Ahaus,38426,151.505781,400937293.806152,97831.2915513756
123,48619,48619 Heek,8382,69.248186,183521307.010254,70638.5518310062
124,47279,47279 Duisburg,8392,5.854311,15012363.6542969,20884.9884924139
125,48739,48739 Legden,6970,56.115157,148166773.92041,58108.7534437926
126,48629,48629 Metelen,6409,40.260392,106793205.97998,47302.4616641804
127,48624,48624 Schöppingen,6883,68.684414,181680609.441406,66979.6260077557
128,48612,48612 Horstmar,6521,44.729859,118396584.688477,57953.4347091165
129,48366,48366 Laer,6495,35.235612,93099092.1757813,57668.640230427
130,48565,48565 Steinfurt,33455,111.629882,296081761.102539,77162.2154202162
131,48356,48356 Nordwalde,9403,51.540362,136438226.913574,59865.5672360596
132,48341,48341 Altenberge,10043,63.004514,166327156.024902,74831.1348745993
133,48329,48329 Havixbeck,11568,53.238517,140143087.525879,60076.193071141
134,48720,48720 Rosendahl,10592,94.709919,249728718.138672,103498.876066412
135,48727,48727 Billerbeck,11537,91.233981,240312025.351563,97779.6497488412
136,48653,48653 Coesfeld,35880,141.159685,370604653.931641,94649.2626565059
137,48301,48301 Nottuln,19226,85.652051,224937567.697266,85930.3276293387
138,48712,48712 Gescher,16936,80.772986,212329671.019531,77217.5963105765
139,48734,48734 Reken,14338,78.731434,205838467.476074,72646.5798605275
140,46342,46342 Velen,13020,70.841774,185806432.558105,72622.6174438295
141,46359,46359 Heiden,8111,53.295505,139341327.32959,59071.8273356747
142,46354,46354 Südlohn,8834,45.223629,118862817.327637,68278.2281228402
143,46325,46325 Borken,41748,153.197481,400990159.893066,119426.240562889
144,46414,46414 Rhede,19149,78.880852,206255255.442383,84863.358005499
145,32839,32839 Steinheim,13157,75.649569,198086440.25,114142.827510814
146,32832,32832 Augustdorf,9666,42.033404,110319550.854492,53211.6414218233
147,32805,32805 Horn-Bad Meinberg,17412,90.053131,236027215.519043,122354.023493003
148,38551,38551 Ribbesbüttel,2092,24.67408,66293465.2802734,52208.6861501227
149,38543,38543 Hillerse,2524,24.127647,64793035.4609375,49514.796028301
150,38542,38542 Leiferde,4355,28.147315,75687955.8061523,69399.9905006285
151,38536,38536 Meinersen,8270,53.816212,144911973.935059,85991.8949030288
152,46514,46514 Schermbeck,13382,110.681773,287764849.034668,106014.306608086
153,46569,46569 Hünxe,13763,106.837903,277059364.366699,96651.4255369031
154,46562,46562 Voerde (Niederrhein),37269,53.468578,138398404.229492,56198.8860579863
155,47495,47495 Rheinberg,30940,75.221788,194316973.371094,83464.4753402768
156,46519,46519 Alpen,12806,59.591021,154201742.812988,63533.2105098733
157,46509,46509 Xanten,21315,72.430204,188049888.262695,83389.9664166844
158,46419,46419 Isselburg,10932,42.795049,111903379.605469,59184.6355512573
159,46459,46459 Rees,21612,109.883682,286551225.021973,93173.7722297682
160,24404,"24404 Maasholm, Schleimünde",640,9.458618,28269933.7734375,24404.1440414001
161,25725,"25725 Schafstedt, Weidenhof, Bornholt",1390,22.09323,64128415.3164063,43722.3671947257
162,24402,24402 Esgrus,805,18.631123,55746243.9804688,48182.2576105241
163,24401,24401 Böel,730,12.223419,36455904.5126953,33982.1545225325
164,23823,23823 Seedorf,2176,48.848668,141505366.386719,69957.4082563762
165,25721,25721 Eggstedt,780,12.579539,36462982.6943359,25719.3282022582
166,23821,23821 Rohlstorf,1203,19.626818,56622175.7353516,39343.3431246583
167,23719,23719 Glasau,916,18.677182,54104816.0805664,36779.7608476927
168,46446,46446 Emmerich am Rhein,29948,80.427005,210424550.904297,89804.6381237256
169,38533,38533 Vordorf,3105,19.362863,51885375.5908203,44961.9355113626
170,38528,38528 Adenbüttel,1771,13.59312,36453324.4350586,42966.5742632558
171,38179,38179 Schwülper,6830,20.886289,55905657.8413086,47022.2936234544
172,25591,25591 Ottenbüttel,746,9.692957,27977863.3535156,28942.9507160733
173,38268,38268 Lengede,12741,34.171395,90883109.0786133,61012.5443251856
174,38176,38176 Wendeburg,10018,60.046181,160614391.722656,87807.9994435227
175,38159,38159 Vechelde,16013,76.530823,203976170.490723,86354.5129868188
176,25786,25786 Dellstedt,783,21.784484,63712394.2705078,43637.5421215761
177,25729,25729 Windbergen,851,17.116323,49581075.3237305,32960.0349427305
178,38378,38378 Warberg,900,7.908281,21007458.8710938,29234.4208738847
179,25599,25599 Wewelsfleth,1508,17.46641,50125141.5302734,42476.7921488734
180,38165,38165 Lehre,11523,72.054697,192796829.938477,84514.6006853938
181,38162,38162 Cremlingen,12804,59.42544,158450118.597168,75212.6950701399
182,25590,25590 Osterstedt,661,10.976127,31893410.6132813,32312.9532609406
183,25587,25587 Münsterdorf,1937,4.977281,14319692.409668,21064.9247230454
184,25585,"25585 Lütjenwestedt, Tackesdorf",630,26.822366,78106259.1987305,38574.9612944091
185,25576,25576 Brokdorf,1001,13.515036,38834277.5336914,30731.7153021314
186,25575,25575 Beringstedt,725,14.111897,41023981.4350586,40168.0102448621
187,25573,"25573 Beidenfleth, Klein Kampen",868,14.575131,41890580.5961914,40758.3046995835
188,38379,38379 Wolsdorf,1016,13.215079,35130278.328125,37251.7283817259
189,38376,38376 Süpplingenburg,651,14.174668,37787938.0126953,37957.5276983672
190,25379,"25379 Herzhorn, Kamerlanderdeich",1056,12.460456,35635671.7109375,38341.677843131
191,38372,38372 Büddenstedt,2704,18.379292,48779352.2841797,47010.5102067471
192,38364,38364 Schöningen,11653,47.334626,125524249.813965,68694.563889253
193,25377,25377 Kollmar und (veraltet) Pagensand,1736,29.508387,84250777.5019531,60524.9230860892
194,25368,25368 Kiebitzreihe,2242,8.633523,24696059.1391602,25012.9418019937
195,25371,25371 Seestermühe,959,14.974599,42667113.9287109,31560.6530981565
196,25370,25370 Seester,914,11.592724,33067422.7719727,31219.79770956
197,25365,25365 Klein Offenseth-Sparrieshoop,2835,16.968938,48590470.4160156,39767.2652582311
198,24997,24997 Wanderup,2186,28.178176,84198889.3305664,43493.0616779419
199,24999,24999 Wees,2290,12.804694,38493795.9008789,29294.1322088963
200,24966,24966 Sörup,4372,43.922713,131499579.779785,52045.4982868215
201,24899,24899 Wohlde,554,14.957912,44092226.546875,35248.8166308418
202,24897,24897 Ulsnis,701,19.740351,58664412.8125,41076.3479006096
203,38468,38468 Ehra-Lessien,1634,56.276444,152194581.904785,56430.2495377108
204,24896,"24896 Treia, Ahrenviölfeld",1506,21.964662,65104333.7788086,48135.9524755379
205,38467,38467 Bergfeld,908,10.545788,28469687.9990234,24893.8620278216
206,38465,38465 Brome,3257,36.88889,99860956.9223633,73526.5592174785
207,29599,29599 Weste,1015,25.429495,70288289.7988281,56141.0002986638
208,42799,42799 Leichlingen,27509,37.239359,94383302.5825195,62515.6319373644
209,56575,56575 Weißenthurm,8237,4.827362,11880300.8569336,16760.3696755013
210,29597,29597 Stoetze,660,38.217162,105640647.208984,47183.2361086163
211,29493,29493 Schnackenburg,592,23.301416,64305906.2597656,39011.9094157258
212,29591,29591 Römstedt,802,19.201135,53187158.4008789,44982.5778997117
213,29590,29590 Rätzlingen,493,8.516975,23459125.6064453,22032.0564423181
214,29588,29588 Oetzen,1185,31.113977,85848751.015625,52628.8428717639
215,29584,29584 Himbergen,1771,39.904909,110560311.689453,61698.3002367633
216,29576,29576 Barum,816,22.367043,61803321.7016602,45924.1690080429
217,29488,29488 Lübbow,836,19.786454,54331644.5683594,33806.4829693336
218,29571,29571 Rosche,2116,71.942897,198347473.746094,82521.6533925877
219,29484,29484 Langendorf,721,41.746945,115530633.047363,54068.674486758
220,29549,29549 Bad Bevensen,8757,48.233666,133450133.287598,73225.6532704757
221,29525,29525 Uelzen,33638,136.734175,376518210.481934,124227.620013152
222,29499,29499 Zernien,1583,51.606642,142671308.200195,68686.5800474832
223,29497,29497 Woltersdorf,958,27.995529,77009168.3540039,47164.6652215599
224,29494,29494 Trebel,946,66.720965,183971162.103027,88032.9635538
225,29475,29475 Gorleben,639,21.341154,58929823.1816406,33388.2188034463
226,29490,29490 Neu Darchau,1441,23.692289,65962253.6166992,49698.5908097309
227,52385,52385 Nideggen,9880,64.930086,161478445.668457,97410.0999086808
228,29485,29485 Lemgow,1401,64.505778,177099133.427734,70299.9457442961
229,52134,52134 Herzogenrath,46447,33.384369,83670632.956543,74625.4231916522
230,52511,52511 Geilenkirchen,26300,83.22617,209571609.008301,85684.4943578374
231,29481,29481 Karwitz,742,31.122926,86148266.0942383,50648.267403852
232,52531,52531 Übach-Palenberg,24232,26.097459,65584201.5595703,56754.407770359
233,56218,56218 Mülheim-Kärlich,10692,15.855228,38976815.8925781,28624.487381063
234,29479,29479 Jameln,1065,35.502332,98077213.7553711,66140.280648802
235,29478,29478 Höhbeck,653,19.401917,53623395.4746094,33143.7471668664
236,29585,29585 Jelmstorf,789,13.918201,38563450.6357422,31472.0094879404
237,29476,29476 Gusborn,1247,48.393452,133884113.523926,84203.4656758041
238,29472,29472 Damnatz,322,15.772605,43768411.0913086,38384.4348744574
239,52396,52396 Heimbach,4424,64.90699,161118779.45459,80753.1010796134
240,52159,52159 Roetgen,8288,39.058139,97067550.7705078,83137.9814837556
241,52393,52393 Hürtgenwald,8676,87.815419,218705990.017578,94407.4756739247
242,52152,52152 Simmerath,15124,110.928738,275124518.72998,124091.104977526
243,52372,52372 Kreuzau,17259,42.131517,105029715.80957,73337.4950479296
244,52391,52391 Vettweiß,8965,83.037437,207106003.265137,81546.6492693263
245,52399,52399 Merzenich,9845,37.859439,94828246.5356445,63118.1981316109
246,52459,52459 Inden,6952,35.956249,90126233.6240234,46229.9381345638
247,52379,52379 Langerwehe,13471,41.482623,103697060.806152,59906.4090439933
248,52249,52249 Eschweiler,54732,75.754336,189595373.524902,80829.6445785039
249,52477,52477 Alsdorf,46577,31.682148,79423932.3549805,47477.412721854
250,52146,52146 Würselen,37223,34.387549,86052837.4423828,58139.0018613546
251,52499,52499 Baesweiler,26382,27.80445,69850892.6142578,41191.6551371789
252,52457,52457 Aldenhoven,13751,44.269204,111126388.716309,73852.4913573764
253,52441,52441 Linnich,12576,65.524998,165034145.864746,75863.3173655039
254,52428,52428 Jülich,31866,90.358443,227128755.97168,90833.8458100974
255,52445,52445 Titz,8299,68.52627,172751852.5625,89414.1170844679
256,52382,52382 Niederzier,13759,63.4179,159180713.012207,64753.6987868329
257,50189,50189 Elsdorf,20825,66.470954,167129001.573242,68628.5840447927
258,50181,50181 Bedburg,23064,80.063933,201981262.880859,80640.004278124
259,52388,52388 Nörvenich,10593,66.177241,165475369.488281,85183.408938373
260,50374,50374 Erftstadt,49270,119.851765,299600588.624512,106533.033641806
261,50389,50389 Wesseling,35011,23.364388,58471759.7880859,41382.4954729991
262,50321,50321 Brühl,43567,36.274219,90790250.8569336,46412.6286418491
263,50354,50354 Hürth,55073,51.005355,127947651.489258,55473.8039106606
264,29496,29496 Waddeweitz,918,49.796368,137301476.236816,58803.9531007381
265,29487,29487 Luckau (Wendland),652,20.696879,56887282.1918945,41476.4244884169
266,29482,29482 Küsten,1383,43.108164,118813997.694336,64728.1603580569
267,29587,29587 Natendorf,816,34.55786,95567646.4394531,49326.353879494
268,29575,29575 Altenmedingen,1565,48.346671,134214514.080566,86516.9049279734
269,29594,29594 Soltendiek,1038,34.147609,93587209.6557617,49905.3101453667
270,29593,29593 Schwienau,729,31.466287,86744955.5527344,57933.9768856317
271,29562,29562 Suhlendorf,2596,61.554296,169244394.89209,82308.2847671657
272,29468,29468 Bergen,1608,24.885385,68259447.8354492,46335.8138422339
273,29465,29465 Schnega,1385,55.202991,151428390.72998,69659.0569126654
274,29462,29462 Wustrow,2888,30.505985,83812161.4018555,42064.6424172087
275,29459,29459 Clenze,2375,72.205864,198615600.838379,81208.73366594
276,29456,29456 Hitzacker (Elbe),5013,57.443177,159532499.10498,70283.9853475978
277,29451,29451 Dannenberg,8102,77.021072,213256990.960449,97375.3582213925
278,29439,29439 Lüchow,9496,90.134255,248304125.30127,100719.330598297
279,49549,49549 Ladbergen,6432,52.325572,138717659.336914,61467.5888348268
280,49219,49219 Glandorf,6705,59.868251,158347683.739746,60112.932357866
281,49214,49214 Bad Rothenfelde,7495,17.575527,46529372.8276367,30452.1647222809
282,49201,49201 Dissen,9294,31.835599,84370145.2573242,52636.8687296124
283,49196,49196 Bad Laer,9223,47.50083,125756772.666992,59600.4742176909
284,49186,49186 Bad Iburg,10644,37.120323,98490678.6616211,60121.9403264228
285,49176,49176 Hilter,10236,51.99856,138106435.056152,77506.4610201282
286,48477,48477 Hörstel,19713,107.403994,286750573.45459,98750.4170090845
287,48369,48369 Saerbeck,7164,59.019688,156797984.62207,67579.0188780739
288,48361,48361 Beelen,6309,31.335004,82318074.3125,41994.8757091676
289,48351,48351 Everswinkel,9427,69.088127,181439025.363281,83002.9415214918
290,48346,48346 Ostbevern,10642,89.575513,236659947.080566,75529.7346990766
291,48336,48336 Sassenberg,14011,78.081961,205913618.373047,77012.5892392841
292,48291,48291 Telgte,18921,90.810474,239281199.02832,110451.990882916
293,48282,48282 Emsdetten,35264,72.017954,191272953.458984,89567.0507551948
294,48268,48268 Greven,34731,140.139917,370911532.951172,105525.829230768
295,48231,48231 Warendorf,37062,176.71073,464684500.447266,141064.544381014
296,38464,38464 Groß Twülpstedt,2563,36.385373,97461595.9262695,54430.8346408307
297,38462,38462 Grafhorst,1012,9.682329,26028549.9208984,30123.8423923195
298,25497,25497 Prisdorf,2185,5.219863,14860924.8188477,20120.1592295394
299,38461,38461 Danndorf,2102,13.997508,37610735.7880859,35980.6676302949
300,38459,38459 Bahrdorf,1907,40.640257,108871180.331543,67072.3242334038
301,38458,38458 Velpke,4651,19.942597,53517335.3852539,38134.2428777508
302,50226,50226 Frechen,49670,45.119036,113369557.260742,55401.8903622246
303,50259,50259 Pulheim,53025,72.105404,181850830.681641,88367.3193638836
304,56648,56648 Saffig,2227,6.967529,17118930.3847656,21221.5674203745
305,49599,49599 Voltlage,1801,42.408071,113986861.544434,50392.6271309797
306,56299,56299 Ochtendung,5230,24.036724,58984169.9707031,43265.2897349863
307,56642,56642 Kruft,3903,18.559817,45607905.1020508,38674.5003735499
308,56637,56637 Plaidt,5785,9.368154,23024849.7724609,29948.8000071906
309,56630,56630 Kretz,742,4.171041,10256235.4077148,18453.9505499051
310,56645,56645 Nickenich,3728,16.690252,41065937.652832,42015.4590137589
311,49594,49594 Alfhausen,3786,39.36795,106097594.259766,49150.9390481306
312,56626,56626 Andernach,29123,52.581236,129488560.283203,63645.5981848083
313,49545,49545 Tecklenburg,8917,70.41664,187453534.884766,95427.8379944362
314,49525,49525 Lengerich,21929,90.625165,240701622.610352,84534.431322922
315,56659,56659 Burgbrohl,3183,10.983045,27075203.3466797,24556.0551160203
316,49504,49504 Lotte,13645,37.723862,100774997.551758,78037.265830572
317,56656,56656 Brohl-Lützing,2430,9.299882,22943054.3969727,24660.3639812139
318,59609,59609 Anröchte,10442,73.752583,190580586.768066,78218.8715298286
319,59597,59597 Erwitte,15608,89.339869,231488463.091797,91737.547679762
320,59590,59590 Geseke,20769,97.796301,253668113.146484,80543.3747126942
321,59514,59514 Welver,12347,85.557007,221724723.80127,91646.2026650199
322,59510,59510 Lippetal,12020,126.514229,328713472.03418,116980.662361258
323,59505,59505 Bad Sassendorf,11517,63.428258,164127478.79541,89637.8081466862
324,59494,59494 Soest,46728,85.752606,221741664.862305,99296.6623816521
325,59329,59329 Wadersloh,12453,116.957168,304535554.92627,98399.752398001
326,59320,59320 Ennigerloh,19710,125.475612,328668466.770508,112969.364734757
327,59302,59302 Oelde,29032,102.704511,268546441.235352,101441.073021113
328,59269,59269 Beckum,36198,111.375971,290473674.581543,97945.8531749262
329,59192,59192 Bergkamen,49049,44.737604,115961204.242676,54978.6192578026
330,59174,59174 Kamen,43765,41.388137,107088438.558594,65381.5498751213
331,58313,58313 Herdecke,22830,22.366417,57440558.809082,42117.9027364127
332,22959,22959 Linau,1186,9.730531,27652639.4301758,30410.1547105118
333,22958,22958 Kuddewörde,1345,7.309978,20710134.3925781,30897.8695299445
334,25469,25469 Halstenbek,16265,12.577696,35714040.0302734,29913.5217284975
335,29396,29396 Schönewörde,912,17.7501,48109844.496582,43999.2327340292
336,25462,25462 Rellingen,13608,13.142629,37358515.7583008,35307.1866040916
337,25421,25421 Pinneberg,41070,21.466606,61019788.2446289,48746.7744024131
338,22869,22869 Schenefeld,18143,10.000219,28364618.4243164,26099.3481822198
339,25499,25499 Tangstedt,2223,12.435646,35412085.4477539,29116.1849158326
340,29359,29359 Habighorst,744,15.824215,43051066.5073242,27902.780924469
341,25495,25495 Kummerfeld,2097,6.403047,18247056.2089844,23858.8655126098
342,58300,58300 Wetter (Ruhr),27945,31.53312,80855771.121582,58611.0436736824
343,45549,45549 Sprockhövel,25605,47.931231,122686038.044922,78275.787712611
344,53721,53721 Siegburg,38704,23.649241,59161788.8505859,47134.0816817775
345,58849,58849 Herscheid,7400,59.393412,151028222.289551,72891.1920989874
346,58769,58769 Nachrodt-Wiblingwerde,6746,29.00235,74162647.2578125,51456.9356659388
347,58762,58762 Altena,18238,44.399907,113402630.024414,78565.1317785946
348,58579,58579 Schalksmühle,10876,37.479937,95611285.96875,59069.0478715127
349,53797,53797 Lohmar,29646,65.598303,164526630.577637,68144.1303064455
350,58566,58566 Kierspe,16382,71.469807,181411101.739746,83648.6272488097
351,58553,58553 Halver,16602,78.407862,199414768.053711,89458.4904968539
352,58540,58540 Meinerzhagen,21132,115.591293,293018030.154297,107965.933201718
353,58339,58339 Breckerfeld,9109,58.884711,150270547.955566,106017.360113459
354,25494,25494 Borstel-Hohenraden,2264,15.072561,42956350.2978516,40481.9860630496
355,53619,53619 Rheinbreitbach,4408,6.547397,16252705.4233398,31683.4624981836
356,53604,53604 Bad Honnef,24561,48.427932,120372597.038086,65463.2184699238
357,25486,25486 Alveslohe,2595,21.907948,62695357.9291992,38853.3440047471
358,25479,25479 Ellerau,5817,7.287071,20824224.7773438,22455.1228612644
359,25451,25451 Quickborn,19730,42.729789,121954844.592773,67859.4080844064
360,25373,25373 Ellerhoop,1423,10.927111,31180623.7524414,32076.6982756874
361,23869,23869 Elmenhorst,2475,14.765375,42201298.6323242,37275.2704898617
362,38384,38384 Gevensleben,686,15.204583,40199766.7431641,32211.0102880849
363,23867,23867 Sülfeld,2519,14.205976,40673418.1401367,32186.9070091478
364,38382,38382 Beierstedt,423,9.605951,25387920.7714844,23742.3598483193
